Ticker,Year,Borrowings,CFO,CWIP,Depreciation,EquityCapital,FCF,FixedAssets,Interest,Investments,NetProfit,OperatingProfit,OtherAssets,OtherLiabilities,PBT,Reserves,Sales,TotalAssets,TotalLiabilities
ABFRL,2022,4100,951,103,997,938,632,6059,389,684,-118,1138,5348,5321,-145,1835,8136,12195,12195
ABFRL,2023,6573,636,204,348,949,-35,8359,142,267,-195,193,7960,6873,-259,2394,2880,16790,16790
ABFRL,2024,9451,1341,171,287,1015,600,11879,152,985,-266,35,8756,8317,-321,3007,1575,21790,21790
ABFRL,2025,5017,1644,181,315,1220,1051,9417,143,1749,-24,199,5046,4565,-15,5592,1719,16394,16394
ABFRL,2026,6189,161,88,349,1221,-295,10387,146,1240,-164,188,6042,5729,-195,4619,1990,17757,17757
ABFRL,2023,,,,389,,,,208,,-200,323,,,-229,,3226,,
ABFRL,2024,,,,286,,,,141,,-175,77,,,-217,,1761,,
ABFRL,2025,,,,325,,,,124,,-295,62,,,-333,,1982,,
ABLBL,2024,,,,176,,,,96,,60,333,,,83,,2138,,
ABLBL,2025,,,,204,,,,95,,69,412,,,91,,2343,,
ABLBL,2024,,,,162,,,,97,,23,279,,,33,,1784,,
ABLBL,2025,,,,173,,,,85,,24,263,,,28,,1841,,
ABLBL,2025,2932.0,1144,13.0,188,0.05,901,3280.0,89,117.0,38,309,4869.0,4070.0,52,1276.0,1942,8279.0,8279.0
ABLBL,2026,3018.0,1219,46.0,210,1221.0,896,3609.0,86,16.0,55,352,5049.0,4290.0,70,192.0,2174,8720.0,8720.0
ABLBL,2024,,,,175,,,,109,,-59,281,,,-81,,1965,,
ABLBL,2025,,,,209,,,,98,,23,317,,,31,,2038,,
ABREL,2023,,,,53.32,,,,7.68,,79.95,191.24,,,133.33,,1070.25,,
ABREL,2024,,,,16.12,,,,7.75,,-42.37,-17.97,,,-49.80,,204.44,,
ABREL,2025,,,,17.77,,,,19.01,,-75.31,-90.64,,,-108.50,,81.17,,
ABREL,2023,,,,50.48,,,,5.92,,-7.06,135.72,,,25.67,,894.47,,
ABREL,2024,,,,16.12,,,,11.00,,17.35,37.60,,,29.82,,353.29,,
ABREL,2025,,,,15.50,,,,7.06,,-27.08,-42.39,,,-32.88,,145.56,,
ABREL,2017,5700,940,34,313,112,794,7309,551,258,105,924,2734,2154,122,2370,7645,10336,10336
ABREL,2018,4369,2209,35,199,112,2056,7256,212,223,372,805,2817,3214,532,2636,3898,10331,10331
ABREL,2019,1020,548,275,193,112,472,4430,102,183,6063,951,1287,1861,6330,3182,3944,6175,6175
ABREL,2020,1400,-23,176,229,112,-225,4293,87,107,360,568,2171,1868,267,3368,3423,6747,6747
ABREL,2021,1049,566,210,231,112,481,4139,71,238,-34,224,2106,2141,-35,3393,2617,6693,6693
ABREL,2022,1336,-51,211,231,112,-177,4059,52,409,162,444,3060,2684,212,3607,4131,7739,7739
ABREL,2023,1059,271,190,48.91,112,283,3952,8.50,228,142.41,146.59,4041,3465,207.04,3775,981.79,8411,8411
ABREL,2024,2502,-315,58,15.24,112,-490,3734,10.36,692,20.64,199.39,6015,4018,59.87,3867,814.23,10499,10499
ABREL,2025,4997,-1293,26,15.83,112,-1413,1437,11.50,1085,-135.20,-30.63,13935,7646,-177.12,3729,394.76,16483,16483
ABREL,2026,5636,747,18,18.50,112,661,1367,20.60,1512,5.39,-165.56,17336,10895,-75.88,3589,82.61,20233,20233
ABREL,2023,,,,51.29,,,,10.35,,-32.87,49.15,,,-24.14,,862.93,,
ABREL,2024,,,,15.74,,,,15.49,,2.82,26.92,,,9.23,,266.38,,
ABREL,2025,,,,15.73,,,,17.73,,-17.82,-73.76,,,-36.55,,97.84,,
ABSLAMC,2023,,,,9,,,,1,,209,194,,,264,,341,,
ABSLAMC,2024,,,,11,,,,2,,224,274,,,300,,445,,
ABSLAMC,2025,,,,12,,,,1,,270,290,,,358,,478,,
ABSLAMC,2023,,,,7,,,,1,,185,170,,,240,,311,,
ABSLAMC,2024,,,,9,,,,1,,236,220,,,305,,387,,
ABSLAMC,2025,,,,10,,,,1,,277,266,,,372,,447,,
ABSLAMC,2017,0,0,0,8,18,0,18,0,901,223,344,281,258,337,924,1013,1200,1200
ABSLAMC,2018,70,346,0,26,18,330,90,5,1141,349,552,318,342,522,1120,1324,1549,1549
ABSLAMC,2019,72,315,2,32,18,295,95,6,1138,447,684,263,206,646,1203,1407,1498,1498
